tfidf,bm25,embedding,section_aware,P@5_v1,P@5_v2,R@5_v1,R@5_v2,nDCG@5_v1,nDCG@5_v2,MAP_v1,MAP_v2,MRR_v1,MRR_v2
0.0,0.05,0.2,0.65,0.2,0.27999999999999997,0.2,0.21690476190476188,0.7261859507142916,0.8523719014285831,0.22666666666666666,0.23607142857142857,0.7,0.8
0.0,0.05,0.25,0.6,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7196795474121254,0.845865498126417,0.23476190476190478,0.21541666666666667,0.7,0.8
0.0,0.05,0.3,0.55,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7261859507142916,0.8523719014285831,0.2447619047619048,0.2192857142857143,0.7,0.8
0.0,0.05,0.35,0.5,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8934935966978339,0.25476190476190474,0.2274801587301587,0.8,0.8666666666666668
0.0,0.05,0.4,0.45,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8796289083125124,0.25342857142857145,0.2233690476190476,0.8,0.85
0.0,0.05,0.45,0.4,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8796289083125124,0.24542857142857147,0.21803571428571428,0.82,0.85
0.0,0.05,0.5,0.35,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8796289083125124,0.24587301587301588,0.21877645502645499,0.8222222222222222,0.85
0.0,0.05,0.55,0.3,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8796289083125124,0.24587301587301588,0.21699074074074076,0.8222222222222222,0.85
0.0,0.05,0.6,0.25,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8708641581447422,0.24587301587301588,0.21393518518518517,0.8222222222222222,0.8400000000000001
0.0,0.05,0.65,0.2,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8708641581447422,0.24587301587301588,0.21393518518518517,0.8222222222222222,0.8400000000000001
0.0,0.05,0.7,0.15,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8708641581447422,0.24500000000000002,0.2134325396825397,0.825,0.8400000000000001
0.0,0.05,0.75,0.1,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7934935966978338,0.8708641581447422,0.24444444444444446,0.20139550264550268,0.8222222222222222,0.8400000000000001
0.0,0.05,0.8,0.05,0.24,0.24,0.24,0.18357142857142858,0.7934935966978338,0.7934935966978338,0.24500000000000002,0.20121031746031742,0.825,0.8333333333333333
0.0,0.05,0.85,0.0,0.24,0.24,0.24,0.18357142857142858,0.7934935966978338,0.7934935966978338,0.24500000000000002,0.20041666666666663,0.825,0.8285714285714285
0.0,0.1,0.0,0.8,0.27999999999999997,0.36000000000000004,0.27999999999999997,0.2819047619047619,0.7839441578296376,0.9839441578296375,0.30452380952380953,0.31642857142857145,0.8,1.0
0.0,0.1,0.05,0.75,0.27999999999999997,0.36000000000000004,0.27999999999999997,0.2819047619047619,0.7839441578296376,0.9839441578296375,0.29944444444444446,0.31246031746031744,0.8,1.0
0.0,0.1,0.1,0.7,0.27999999999999997,0.36000000000000004,0.27999999999999997,0.2819047619047619,0.7839441578296376,0.980522574220975,0.29944444444444446,0.2924603174603175,0.8,1.0
0.0,0.1,0.15,0.65,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7754430630676099,0.9754430630676099,0.27714285714285714,0.2808333333333333,0.8,1.0
0.0,0.1,0.2,0.6,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7754430630676099,0.9016290137819014,0.27714285714285714,0.25166666666666665,0.8,0.9
0.0,0.1,0.25,0.55,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7700689811069509,0.8700689811069509,0.27599999999999997,0.24496825396825397,0.8,0.8666666666666668
0.0,0.1,0.3,0.5,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7700689811069509,0.8700689811069509,0.27599999999999997,0.24496825396825397,0.8,0.8666666666666668
0.0,0.1,0.35,0.45,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7700689811069509,0.8700689811069509,0.275,0.24663492063492062,0.82,0.8666666666666668
0.0,0.1,0.4,0.4,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7635625778047848,0.8635625778047847,0.2633333333333333,0.2369325396825397,0.82,0.8666666666666668
0.0,0.1,0.45,0.35,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7635625778047848,0.8409331392516931,0.2624444444444444,0.23189550264550265,0.8222222222222222,0.8400000000000001
0.0,0.1,0.5,0.3,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7635625778047848,0.8409331392516931,0.25044444444444447,0.21850661375661376,0.8222222222222222,0.8400000000000001
0.0,0.1,0.55,0.25,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7635625778047848,0.8409331392516931,0.25044444444444447,0.21850661375661376,0.8222222222222222,0.8400000000000001
0.0,0.1,0.6,0.2,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7635625778047848,0.8409331392516931,0.259,0.21832142857142856,0.825,0.8400000000000001
0.0,0.1,0.65,0.15,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7635625778047848,0.8409331392516931,0.25988888888888895,0.21943253968253967,0.825,0.8400000000000001
0.0,0.1,0.7,0.1,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7635625778047848,0.8409331392516931,0.259,0.21832142857142856,0.825,0.8400000000000001
0.0,0.1,0.75,0.05,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7635625778047848,0.8409331392516931,0.25971428571428573,0.21951190476190474,0.8285714285714285,0.8400000000000001
0.0,0.1,0.8,0.0,0.24,0.24,0.24,0.18357142857142858,0.7934935966978338,0.7934935966978338,0.25633333333333336,0.21375000000000002,0.825,0.8285714285714285
0.0,0.15,0.0,0.75,0.32,0.36000000000000004,0.32,0.2819047619047619,0.7839441578296376,0.9101301085439291,0.3266666666666667,0.3041964285714286,0.8,0.9
0.0,0.15,0.05,0.7,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7839441578296376,0.9101301085439291,0.30952380952380953,0.2918154761904762,0.8,0.9
0.0,0.15,0.1,0.65,0.32,0.36,0.32,0.2969047619047619,0.7770919763142975,0.9032779270285889,0.3106666666666667,0.2958154761904762,0.8,0.9
0.0,0.15,0.15,0.6,0.32,0.36,0.32,0.2969047619047619,0.7705855730121314,0.896771523726423,0.304,0.2741488095238095,0.8,0.9
0.0,0.15,0.2,0.55,0.32,0.36,0.32,0.2969047619047619,0.7705855730121314,0.896771523726423,0.3017777777777778,0.27241269841269844,0.8,0.9
0.0,0.15,0.25,0.5,0.32,0.36,0.32,0.2969047619047619,0.7705855730121314,0.8705855730121315,0.288,0.2596349206349206,0.82,0.8666666666666668
0.0,0.15,0.3,0.45,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7754430630676099,0.8754430630676099,0.2844444444444444,0.2545899470899471,0.8222222222222222,0.8666666666666668
0.0,0.15,0.35,0.4,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7754430630676099,0.8615783746822885,0.2924444444444444,0.2618121693121693,0.8222222222222222,0.85
0.0,0.15,0.4,0.35,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7754430630676099,0.8615783746822885,0.2924444444444444,0.2618121693121693,0.8222222222222222,0.85
0.0,0.15,0.45,0.3,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7689366597654438,0.8463072212123521,0.27444444444444444,0.24339550264550264,0.8222222222222222,0.8400000000000001
0.0,0.15,0.5,0.25,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7689366597654438,0.8463072212123521,0.2624444444444445,0.22139550264550265,0.8222222222222222,0.8400000000000001
0.0,0.15,0.55,0.2,0.27999999999999997,0.32,0.27999999999999997,0.25690476190476186,0.7689366597654438,0.8463072212123521,0.2624444444444445,0.22139550264550265,0.8222222222222222,0.8400000000000001
